,Epoch,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
16825,1,DenseNet,non-pretrained,train,01,0.9999728798866272,0.437301367521286
16851,2,DenseNet,non-pretrained,train,01,0.087605245411396,0.3621043562889099
16877,3,DenseNet,non-pretrained,train,01,0.0630933865904808,0.3372313678264618
16903,4,DenseNet,non-pretrained,train,01,0.0627027601003646,0.3320707082748413
16929,5,DenseNet,non-pretrained,train,01,0.0573005005717277,0.3262874782085418
16955,6,DenseNet,non-pretrained,train,01,0.0549231320619583,0.322483628988266
16981,7,DenseNet,non-pretrained,train,01,0.0533096082508564,0.3211333751678467
17007,8,DenseNet,non-pretrained,train,01,0.0558403991162776,0.3196046352386474
17033,9,DenseNet,non-pretrained,train,01,0.0613732375204563,0.3225365579128265
17059,10,DenseNet,non-pretrained,train,01,0.0530012622475624,0.3163518011569977
17085,11,DenseNet,non-pretrained,train,01,0.0610414408147335,0.3211024105548858
17111,12,DenseNet,non-pretrained,train,01,0.0540853291749954,0.3165203928947449
17137,13,DenseNet,non-pretrained,train,01,0.0499147661030292,0.3124923408031463
17163,14,DenseNet,non-pretrained,train,01,0.0538037084043026,0.3154061436653137
17189,15,DenseNet,non-pretrained,train,01,0.0526773706078529,0.3138610422611236
17215,16,DenseNet,non-pretrained,train,01,0.0563751235604286,0.3162911832332611
17241,17,DenseNet,non-pretrained,train,01,0.0506116710603237,0.3126843571662903
17267,18,DenseNet,non-pretrained,train,01,0.0486729033291339,0.3113575875759125
17293,19,DenseNet,non-pretrained,train,01,0.0506772026419639,0.3124176263809204
17319,20,DenseNet,non-pretrained,train,01,0.0523477345705032,0.3126695156097412
17345,21,DenseNet,non-pretrained,train,01,0.0440419800579547,0.3067973256111145
17371,22,DenseNet,non-pretrained,train,01,0.0511849112808704,0.3116640150547027
17397,23,DenseNet,non-pretrained,train,01,0.0454523377120494,0.3087953627109527
17423,24,DenseNet,non-pretrained,train,01,0.0515593774616718,0.3117348849773407
17449,25,DenseNet,non-pretrained,train,01,0.043495524674654,0.3073765635490417
17475,26,DenseNet,non-pretrained,train,01,0.0509273260831832,0.3115755617618561
17501,27,DenseNet,non-pretrained,train,01,0.065613068640232,0.3197589814662933
17527,28,DenseNet,non-pretrained,train,01,0.0463135652244091,0.3081162869930267
17553,29,DenseNet,non-pretrained,train,01,0.0489964038133621,0.3098320662975311
17579,30,DenseNet,non-pretrained,train,01,0.0542252175509929,0.3137507438659668
17605,1,DenseNet,non-pretrained,train,02,0.1346045881509781,0.3946031928062439
17631,2,DenseNet,non-pretrained,train,02,0.0692939087748527,0.0797135755419731
17657,3,DenseNet,non-pretrained,train,02,0.0616408698260784,0.0687689557671547
17683,4,DenseNet,non-pretrained,train,02,0.0661115273833274,0.0725135207176208
17709,5,DenseNet,non-pretrained,train,02,0.0564633049070835,0.0621117167174816
17735,6,DenseNet,non-pretrained,train,02,0.0475304462015628,0.0525077767670154
17761,7,DenseNet,non-pretrained,train,02,0.0504513829946517,0.0555155761539936
17787,8,DenseNet,non-pretrained,train,02,0.0525030754506588,0.0574583448469638
17813,9,DenseNet,non-pretrained,train,02,0.0461041629314422,0.050554446876049
17839,10,DenseNet,non-pretrained,train,02,0.0556112416088581,0.0601555258035659
17865,11,DenseNet,non-pretrained,train,02,0.0489223897457122,0.0531010068953037
17891,12,DenseNet,non-pretrained,train,02,0.0463795289397239,0.0506873987615108
17917,13,DenseNet,non-pretrained,train,02,0.0442400053143501,0.0486359223723411
17943,14,DenseNet,non-pretrained,train,02,0.0493776313960552,0.0532277189195156
17969,15,DenseNet,non-pretrained,train,02,0.0490324832499027,0.0532799996435642
17995,16,DenseNet,non-pretrained,train,02,0.0508907996118068,0.0551164224743843
18021,17,DenseNet,non-pretrained,train,02,0.0454309843480587,0.049885768443346
18047,18,DenseNet,non-pretrained,train,02,0.0439158603549003,0.0477825291454792
18073,19,DenseNet,non-pretrained,train,02,0.045668214559555,0.0494142733514308
18099,20,DenseNet,non-pretrained,train,02,0.0491478964686393,0.0531585365533828
18125,21,DenseNet,non-pretrained,train,02,0.0505691915750503,0.0546389855444431
18151,22,DenseNet,non-pretrained,train,02,0.0480368249118328,0.0519317276775836
18177,23,DenseNet,non-pretrained,train,02,0.0459390766918659,0.0499017164111137
18203,24,DenseNet,non-pretrained,train,02,0.0475767776370048,0.051544364541769
18229,25,DenseNet,non-pretrained,train,02,0.0440397784113884,0.0477743558585643
18255,26,DenseNet,non-pretrained,train,02,0.0496089532971382,0.053294364362955
18281,27,DenseNet,non-pretrained,train,02,0.0491044484078884,0.0527682602405548
18307,28,DenseNet,non-pretrained,train,02,0.0463826060295105,0.0498005114495754
18333,29,DenseNet,non-pretrained,train,02,0.0490172989666461,0.0524357669055461
18359,30,DenseNet,non-pretrained,train,02,0.048658050596714,0.0522014312446117
18385,1,DenseNet,non-pretrained,train,03,0.1185361221432685,0.1398338675498962
18411,2,DenseNet,non-pretrained,train,03,0.0749916434288024,0.0825913026928901
18437,3,DenseNet,non-pretrained,train,03,0.0543185174465179,0.0608808100223541
18463,4,DenseNet,non-pretrained,train,03,0.057197768241167,0.0626660212874412
18489,5,DenseNet,non-pretrained,train,03,0.0565815083682537,0.0610686801373958
18515,6,DenseNet,non-pretrained,train,03,0.0584409907460212,0.0630183070898056
18541,7,DenseNet,non-pretrained,train,03,0.0513720102608203,0.056226409971714
18567,8,DenseNet,non-pretrained,train,03,0.0504729263484478,0.0548037588596344
18593,9,DenseNet,non-pretrained,train,03,0.0496164821088314,0.0539281629025936
18619,10,DenseNet,non-pretrained,train,03,0.0566475130617618,0.0607547014951705
18645,11,DenseNet,non-pretrained,train,03,0.0474715456366539,0.051583245396614
18671,12,DenseNet,non-pretrained,train,03,0.0476749204099178,0.0518058761954307
18697,13,DenseNet,non-pretrained,train,03,0.0480854287743568,0.0527165494859218
18723,14,DenseNet,non-pretrained,train,03,0.0467822849750518,0.0508728399872779
18749,15,DenseNet,non-pretrained,train,03,0.0516074933111667,0.0557619109749794
18775,16,DenseNet,non-pretrained,train,03,0.045069370418787,0.0490194335579872
18801,17,DenseNet,non-pretrained,train,03,0.0500683896243572,0.0536549426615238
18827,18,DenseNet,non-pretrained,train,03,0.0437349937856197,0.047619093209505
18853,19,DenseNet,non-pretrained,train,03,0.047770544886589,0.051364280283451
18879,20,DenseNet,non-pretrained,train,03,0.0443519204854965,0.0486350320279598
18905,21,DenseNet,non-pretrained,train,03,0.0587616041302681,0.0623297579586505
18931,22,DenseNet,non-pretrained,train,03,0.0477278754115104,0.0516083873808383
18957,23,DenseNet,non-pretrained,train,03,0.0506528355181217,0.054078534245491
18983,24,DenseNet,non-pretrained,train,03,0.0480736419558525,0.0518252477049827
19009,25,DenseNet,non-pretrained,train,03,0.0436832085251808,0.0473752319812774
19035,26,DenseNet,non-pretrained,train,03,0.0474846325814724,0.0511211119592189
19061,27,DenseNet,non-pretrained,train,03,0.0461466871201992,0.0498159416019916
19087,28,DenseNet,non-pretrained,train,03,0.0469100512564182,0.0504341758787632
19113,29,DenseNet,non-pretrained,train,03,0.0583638809621334,0.0616085976362228
19139,30,DenseNet,non-pretrained,train,03,0.0451463386416435,0.0487374663352966
19165,1,DenseNet,non-pretrained,train,04,0.1245559751987457,0.4800112247467041
19191,2,DenseNet,non-pretrained,train,04,0.0729011967778205,0.4251062572002411
19217,3,DenseNet,non-pretrained,train,04,0.0648285299539566,0.424197107553482
19243,4,DenseNet,non-pretrained,train,04,0.0621439926326274,0.4008060097694397
19269,5,DenseNet,non-pretrained,train,04,0.065442144870758,0.4366487860679626
19295,6,DenseNet,non-pretrained,train,04,0.0583897344768047,0.3922933340072632
19321,7,DenseNet,non-pretrained,train,04,0.0538505874574184,0.415886253118515
19347,8,DenseNet,non-pretrained,train,04,0.0482214763760566,0.3898017108440399
19373,9,DenseNet,non-pretrained,train,04,0.0667512714862823,0.4294174015522003
19399,10,DenseNet,non-pretrained,train,04,0.0550455786287784,0.3979134559631347
19425,11,DenseNet,non-pretrained,train,04,0.0494041964411735,0.3936511874198913
19451,12,DenseNet,non-pretrained,train,04,0.0499246604740619,0.4000621438026428
19477,13,DenseNet,non-pretrained,train,04,0.0522477440536022,0.3981156945228576
19503,14,DenseNet,non-pretrained,train,04,0.0524695515632629,0.3841721415519714
19529,15,DenseNet,non-pretrained,train,04,0.0491262339055538,0.3933224380016327
19555,16,DenseNet,non-pretrained,train,04,0.0513797104358673,0.394004613161087
19581,17,DenseNet,non-pretrained,train,04,0.0475609377026557,0.3792664408683777
19607,18,DenseNet,non-pretrained,train,04,0.0495996512472629,0.3879640996456146
19633,19,DenseNet,non-pretrained,train,04,0.0486884489655494,0.4054482281208038
19659,20,DenseNet,non-pretrained,train,04,0.0534652583301067,0.3980085253715515
19685,21,DenseNet,non-pretrained,train,04,0.0430154576897621,0.3927840292453766
19711,22,DenseNet,non-pretrained,train,04,0.0495973005890846,0.3902951180934906
19737,23,DenseNet,non-pretrained,train,04,0.0526817329227924,0.3902694880962372
19763,24,DenseNet,non-pretrained,train,04,0.0476464442908763,0.382274329662323
19789,25,DenseNet,non-pretrained,train,04,0.0471688397228717,0.3935985565185547
19815,26,DenseNet,non-pretrained,train,04,0.0537324547767639,0.4050399363040924
19841,27,DenseNet,non-pretrained,train,04,0.0568642504513263,0.4259020090103149
19867,28,DenseNet,non-pretrained,train,04,0.0437418855726718,0.3917675018310547
19893,29,DenseNet,non-pretrained,train,04,0.0429525226354599,0.3885920345783233
19919,30,DenseNet,non-pretrained,train,04,0.0527521632611751,0.4124989807605743
19945,1,DenseNet,non-pretrained,train,05,0.1178881078958511,0.2971609234809875
19971,2,DenseNet,non-pretrained,train,05,0.0785603076219558,0.2339913249015808
19997,3,DenseNet,non-pretrained,train,05,0.0739355981349945,0.221504658460617
20023,4,DenseNet,non-pretrained,train,05,0.0610489509999752,0.2082398533821106
20049,5,DenseNet,non-pretrained,train,05,0.0534471310675144,0.1994925737380981
20075,6,DenseNet,non-pretrained,train,05,0.0545477978885173,0.1989654898643493
20101,7,DenseNet,non-pretrained,train,05,0.0607215873897075,0.2037298828363418
20127,8,DenseNet,non-pretrained,train,05,0.0589902959764003,0.2009629756212234
20153,9,DenseNet,non-pretrained,train,05,0.0527064390480518,0.1955684721469879
20179,10,DenseNet,non-pretrained,train,05,0.0530324280261993,0.1961869299411773
20205,11,DenseNet,non-pretrained,train,05,0.051851712167263,0.1943549662828445
20231,12,DenseNet,non-pretrained,train,05,0.055676694959402,0.1971062123775482
20257,13,DenseNet,non-pretrained,train,05,0.0529494769871234,0.1947130262851715
20283,14,DenseNet,non-pretrained,train,05,0.0573203414678573,0.1983059495687484
20309,15,DenseNet,non-pretrained,train,05,0.0444430373609066,0.1878553181886673
20335,16,DenseNet,non-pretrained,train,05,0.0509409494698047,0.1926284581422805
20361,17,DenseNet,non-pretrained,train,05,0.0517725124955177,0.1922696530818939
20387,18,DenseNet,non-pretrained,train,05,0.054280798882246,0.1947527229785919
20413,19,DenseNet,non-pretrained,train,05,0.0495842173695564,0.1910688132047653
20439,20,DenseNet,non-pretrained,train,05,0.051695954054594,0.1922508180141449
20465,21,DenseNet,non-pretrained,train,05,0.0536051802337169,0.1938446015119552
20491,22,DenseNet,non-pretrained,train,05,0.0511078275740146,0.1917415261268615
20517,23,DenseNet,non-pretrained,train,05,0.049882523715496,0.1903713345527649
20543,24,DenseNet,non-pretrained,train,05,0.0463546589016914,0.1875299215316772
20569,25,DenseNet,non-pretrained,train,05,0.0476849339902401,0.1885620951652526
20595,26,DenseNet,non-pretrained,train,05,0.0529635436832904,0.1930905878543853
20621,27,DenseNet,non-pretrained,train,05,0.0506841987371444,0.1907821297645568
20647,28,DenseNet,non-pretrained,train,05,0.0535344146192073,0.1940287947654724
20673,29,DenseNet,non-pretrained,train,05,0.0594333000481128,0.1981245577335357
20699,30,DenseNet,non-pretrained,train,05,0.0586493872106075,0.1970600187778473
20725,1,DenseNet,non-pretrained,train,06,0.1241749823093414,0.3208958506584167
20751,2,DenseNet,non-pretrained,train,06,0.0891288965940475,0.2618402540683746
20777,3,DenseNet,non-pretrained,train,06,0.0628115907311439,0.2358410805463791
20803,4,DenseNet,non-pretrained,train,06,0.0661510229110717,0.2354517430067062
20829,5,DenseNet,non-pretrained,train,06,0.0657240524888038,0.2332767844200134
20855,6,DenseNet,non-pretrained,train,06,0.0593839362263679,0.2272038459777832
20881,7,DenseNet,non-pretrained,train,06,0.0629286468029022,0.2295305877923965
20907,8,DenseNet,non-pretrained,train,06,0.0535030923783779,0.2213545739650726
20933,9,DenseNet,non-pretrained,train,06,0.0516048297286033,0.219130203127861
20959,10,DenseNet,non-pretrained,train,06,0.0591042265295982,0.2252405732870102
20985,11,DenseNet,non-pretrained,train,06,0.0537788234651088,0.2213193327188491
21011,12,DenseNet,non-pretrained,train,06,0.05976477637887,0.2244254201650619
21037,13,DenseNet,non-pretrained,train,06,0.0506803579628467,0.2171656787395477
21063,14,DenseNet,non-pretrained,train,06,0.0530452318489551,0.2195086479187011
21089,15,DenseNet,non-pretrained,train,06,0.0504330359399318,0.216882437467575
21115,16,DenseNet,non-pretrained,train,06,0.0481846667826175,0.215056836605072
21141,17,DenseNet,non-pretrained,train,06,0.0604712441563606,0.2247557491064071
21167,18,DenseNet,non-pretrained,train,06,0.0538696572184562,0.219372883439064
21193,19,DenseNet,non-pretrained,train,06,0.0497273653745651,0.2160089761018753
21219,20,DenseNet,non-pretrained,train,06,0.0545030273497104,0.2194461375474929
21245,21,DenseNet,non-pretrained,train,06,0.0457971319556236,0.2130061686038971
21271,22,DenseNet,non-pretrained,train,06,0.0482274740934371,0.2139869183301925
21297,23,DenseNet,non-pretrained,train,06,0.0528530366718769,0.2182167321443557
21323,24,DenseNet,non-pretrained,train,06,0.0519132353365421,0.2167573869228363
21349,25,DenseNet,non-pretrained,train,06,0.0659307911992073,0.2271872013807296
21375,26,DenseNet,non-pretrained,train,06,0.0515845641493797,0.2165740132331848
21401,27,DenseNet,non-pretrained,train,06,0.0530681759119033,0.2183034420013427
21427,28,DenseNet,non-pretrained,train,06,0.0469317063689231,0.2127534449100494
