,Epoch,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
25,1,AttDs,pretrained,train,01,0.0780625939369201,0.56146240234375
51,2,AttDs,pretrained,train,01,0.0560404323041439,0.5231878757476807
77,3,AttDs,pretrained,train,01,0.0443784557282924,0.518405020236969
103,4,AttDs,pretrained,train,01,0.043288454413414,0.5206867456436157
129,5,AttDs,pretrained,train,01,0.0431017614901065,0.5124726891517639
155,6,AttDs,pretrained,train,01,0.0399897061288356,0.5007628798484802
181,7,AttDs,pretrained,train,01,0.0368346385657787,0.494276762008667
207,8,AttDs,pretrained,train,01,0.0422403812408447,0.5167316198348999
233,9,AttDs,pretrained,train,01,0.0430761538445949,0.5256260633468628
259,10,AttDs,pretrained,train,01,0.0401451960206031,0.5216189026832581
285,11,AttDs,pretrained,train,01,0.0479815080761909,0.5210462212562561
311,12,AttDs,pretrained,train,01,0.0434328652918338,0.5144093632698059
337,13,AttDs,pretrained,train,01,0.0427688844501972,0.5243130326271057
363,14,AttDs,pretrained,train,01,0.0430229678750038,0.5161582231521606
389,15,AttDs,pretrained,train,01,0.0408309996128082,0.5049115419387817
415,16,AttDs,pretrained,train,01,0.0427045673131942,0.51918625831604
441,17,AttDs,pretrained,train,01,0.0395524092018604,0.5149547457695007
467,18,AttDs,pretrained,train,01,0.0379118174314498,0.5054962038993835
493,19,AttDs,pretrained,train,01,0.0379703976213932,0.4998195469379425
519,20,AttDs,pretrained,train,01,0.0425913073122501,0.5098773837089539
545,21,AttDs,pretrained,train,01,0.0339217819273471,0.512389600276947
571,22,AttDs,pretrained,train,01,0.0388997122645378,0.5025498867034912
597,23,AttDs,pretrained,train,01,0.0355352237820625,0.4947196543216705
623,24,AttDs,pretrained,train,01,0.0403143279254436,0.5064602494239807
649,25,AttDs,pretrained,train,01,0.0357761681079864,0.481807142496109
675,26,AttDs,pretrained,train,01,0.0405894666910171,0.5012063384056091
701,27,AttDs,pretrained,train,01,0.049101635813713,0.525132954120636
727,28,AttDs,pretrained,train,01,0.0410635285079479,0.5215080380439758
753,29,AttDs,pretrained,train,01,0.0387726910412311,0.4732484817504883
779,30,AttDs,pretrained,train,01,0.0427959337830543,0.5408368110656738
805,1,AttDs,pretrained,train,02,0.741400420665741,0.6181652545928955
831,2,AttDs,pretrained,train,02,0.0607605800032615,0.5970534682273865
857,3,AttDs,pretrained,train,02,0.0478249751031398,0.5827502608299255
883,4,AttDs,pretrained,train,02,0.0579100176692009,0.5970410108566284
909,5,AttDs,pretrained,train,02,0.0453516729176044,0.5863972902297974
935,6,AttDs,pretrained,train,02,0.0421661585569381,0.5573496222496033
961,7,AttDs,pretrained,train,02,0.0435386933386325,0.571487545967102
987,8,AttDs,pretrained,train,02,0.0447826609015464,0.5654408931732178
1013,9,AttDs,pretrained,train,02,0.041608776897192,0.5610457062721252
1039,10,AttDs,pretrained,train,02,0.0468257069587707,0.5873364806175232
1065,11,AttDs,pretrained,train,02,0.0415930859744548,0.5517659783363342
1091,12,AttDs,pretrained,train,02,0.0369461514055728,0.5577018857002258
1117,13,AttDs,pretrained,train,02,0.0428069978952407,0.5702442526817322
1143,14,AttDs,pretrained,train,02,0.0409072451293468,0.5380520224571228
1169,15,AttDs,pretrained,train,02,0.0429763719439506,0.5694468021392822
1195,16,AttDs,pretrained,train,02,0.0453730523586273,0.5804977416992188
1221,17,AttDs,pretrained,train,02,0.044823233038187,0.5866967439651489
1247,18,AttDs,pretrained,train,02,0.0378584414720535,0.5618093013763428
1273,19,AttDs,pretrained,train,02,0.0390893444418907,0.5572127103805542
1299,20,AttDs,pretrained,train,02,0.0465110689401626,0.5793249011039734
1325,21,AttDs,pretrained,train,02,0.044383093714714,0.5642300844192505
1351,22,AttDs,pretrained,train,02,0.0448774732649326,0.577392578125
1377,23,AttDs,pretrained,train,02,0.0447063185274601,0.5870285630226135
1403,24,AttDs,pretrained,train,02,0.0439811162650585,0.5846887230873108
1429,25,AttDs,pretrained,train,02,0.0389329865574836,0.559029221534729
1455,26,AttDs,pretrained,train,02,0.0423670671880245,0.5627739429473877
1481,27,AttDs,pretrained,train,02,0.0467720255255699,0.5718460083007812
1507,28,AttDs,pretrained,train,02,0.0378456823527812,0.5406599044799805
1533,29,AttDs,pretrained,train,02,0.038713414222002,0.5522385239601135
1559,30,AttDs,pretrained,train,02,0.0387109033763408,0.5531597137451172
1585,1,AttDs,pretrained,train,03,0.0801726356148719,0.1244115307927131
1611,2,AttDs,pretrained,train,03,0.0541144683957099,0.0610092766582965
1637,3,AttDs,pretrained,train,03,0.0401556454598903,0.0454515069723129
1663,4,AttDs,pretrained,train,03,0.0419309958815574,0.0466539524495601
1689,5,AttDs,pretrained,train,03,0.0422580279409885,0.0459283180534839
1715,6,AttDs,pretrained,train,03,0.0442081652581691,0.0480671972036361
