,ImagesCount,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
16800,64,DenseNet,non-pretrained,train,01,3.176927566517218e-05,0.7869312763214111
16801,128,DenseNet,non-pretrained,train,01,3.1113624572753906e-05,0.7786321640014648
16802,192,DenseNet,non-pretrained,train,01,2.765655517578125e-05,0.7584640979766846
16803,256,DenseNet,non-pretrained,train,01,2.729892730723993e-05,0.7443295121192932
16804,320,DenseNet,non-pretrained,train,01,2.634525299083368e-05,0.7308598160743713
16805,384,DenseNet,non-pretrained,train,01,2.688169479359015e-05,0.7204596996307373
16806,448,DenseNet,non-pretrained,train,01,3.045797348022461e-05,0.7170135378837585
16807,512,DenseNet,non-pretrained,train,01,2.646446228038446e-05,0.6849576830863953
16808,576,DenseNet,non-pretrained,train,01,3.123283386241571e-05,0.6869391798973083
16809,640,DenseNet,non-pretrained,train,01,3.0040740966796875e-05,0.6637234091758728
16810,704,DenseNet,non-pretrained,train,01,2.6047229766845703e-05,0.6212392449378967
16811,768,DenseNet,non-pretrained,train,01,2.7060508728027344e-05,0.6039038896560669
16812,832,DenseNet,non-pretrained,train,01,3.1113624572753906e-05,0.6045154929161072
16813,896,DenseNet,non-pretrained,train,01,2.4616718292236328e-05,0.5492832064628601
16814,960,DenseNet,non-pretrained,train,01,2.872943878162726e-05,0.542550265789032
16815,1024,DenseNet,non-pretrained,train,01,3.218650817882196e-05,0.5301028490066528
16816,1088,DenseNet,non-pretrained,train,01,2.735853195201532e-05,0.4972444474697113
16817,1152,DenseNet,non-pretrained,train,01,2.741813659679071e-05,0.4921475350856781
16818,1216,DenseNet,non-pretrained,train,01,2.968311309803351e-05,0.4737090766429901
16819,1280,DenseNet,non-pretrained,train,01,3.021955490123407e-05,0.4623444676399231
16820,1344,DenseNet,non-pretrained,train,01,2.8133392333984375e-05,0.4489173889160156
16821,1408,DenseNet,non-pretrained,train,01,2.8192996978759766e-05,0.4421543776988983
16822,1472,DenseNet,non-pretrained,train,01,2.944469451904297e-05,0.458359032869339
16823,1536,DenseNet,non-pretrained,train,01,2.676248550415039e-05,0.442422091960907
16824,1600,DenseNet,non-pretrained,train,01,2.6106834411621094e-05,0.4306994676589966
16825,1631,DenseNet,non-pretrained,train,01,2.7120113372802734e-05,0.437301367521286
16826,1663,DenseNet,non-pretrained,train,01,2.920627594005243e-05,0.4164137244224548
16827,1727,DenseNet,non-pretrained,train,01,3.075599670399054e-05,0.4213822782039642
16828,1791,DenseNet,non-pretrained,train,01,2.741813659679071e-05,0.4096800684928894
16829,1855,DenseNet,non-pretrained,train,01,2.6524066925048828e-05,0.4020166993141174
16830,1919,DenseNet,non-pretrained,train,01,0.6675885915756226,0.4028072357177734
16831,1983,DenseNet,non-pretrained,train,01,0.9045487418770791,0.3900569379329681
16832,2047,DenseNet,non-pretrained,train,01,0.8914151638746262,0.397881805896759
16833,2111,DenseNet,non-pretrained,train,01,0.8820088282227517,0.3983529210090637
16834,2175,DenseNet,non-pretrained,train,01,0.9161006808280945,0.3777037262916565
16835,2239,DenseNet,non-pretrained,train,01,0.9090710654854774,0.3820764422416687
16836,2303,DenseNet,non-pretrained,train,01,0.8927836865186692,0.3876101970672607
16837,2367,DenseNet,non-pretrained,train,01,0.9115989729762078,0.3785591125488281
16838,2431,DenseNet,non-pretrained,train,01,0.9171320796012878,0.3730149269104004
16839,2495,DenseNet,non-pretrained,train,01,0.8995215222239495,0.3788636326789856
16840,2559,DenseNet,non-pretrained,train,01,0.9046604931354523,0.3782286643981933
16841,2623,DenseNet,non-pretrained,train,01,0.8913315162062645,0.3848835825920105
16842,2687,DenseNet,non-pretrained,train,01,0.9082490354776382,0.3735349476337433
16843,2751,DenseNet,non-pretrained,train,01,0.9147490561008454,0.3683394491672516
16844,2815,DenseNet,non-pretrained,train,01,0.8858455121517181,0.3844392895698547
16845,2879,DenseNet,non-pretrained,train,01,0.8955409601330758,0.3796302676200866
16846,2943,DenseNet,non-pretrained,train,01,0.9051829800009727,0.3692142069339752
16847,3007,DenseNet,non-pretrained,train,01,0.9146743193268776,0.3646604418754577
16848,3071,DenseNet,non-pretrained,train,01,0.9155210256576539,0.3665202558040619
16849,3135,DenseNet,non-pretrained,train,01,0.9116640314459801,0.3663776814937591
16850,3199,DenseNet,non-pretrained,train,01,0.913015104830265,0.3633369207382202
16851,3262,DenseNet,non-pretrained,train,01,0.912394754588604,0.3621043562889099
16852,3326,DenseNet,non-pretrained,train,01,0.9057458713650703,0.3665826022624969
16853,3390,DenseNet,non-pretrained,train,01,0.9005360454320908,0.3694256842136383
16854,3454,DenseNet,non-pretrained,train,01,0.9235620051622391,0.3543484807014465
16855,3518,DenseNet,non-pretrained,train,01,0.9130620956420898,0.360496461391449
16856,3582,DenseNet,non-pretrained,train,01,0.9182415381073952,0.3564414083957672
16857,3646,DenseNet,non-pretrained,train,01,0.9256879463791848,0.3521053791046142
16858,3710,DenseNet,non-pretrained,train,01,0.9309502243995667,0.349516361951828
16859,3774,DenseNet,non-pretrained,train,01,0.9137638658285141,0.358488380908966
16860,3838,DenseNet,non-pretrained,train,01,0.9262755066156388,0.3487943410873413
16861,3902,DenseNet,non-pretrained,train,01,0.9306154623627663,0.3472213745117187
16862,3966,DenseNet,non-pretrained,train,01,0.9172030985355378,0.3544783890247345
16863,4030,DenseNet,non-pretrained,train,01,0.9301858022809029,0.347332090139389
16864,4094,DenseNet,non-pretrained,train,01,0.9199063181877137,0.3516479432582855
16865,4158,DenseNet,non-pretrained,train,01,0.9167285189032555,0.3517041504383087
16866,4222,DenseNet,non-pretrained,train,01,0.9200430139899254,0.3511077761650085
16867,4286,DenseNet,non-pretrained,train,01,0.9316018223762513,0.3451425433158874
16868,4350,DenseNet,non-pretrained,train,01,0.9362201988697052,0.3415781259536743
16869,4414,DenseNet,non-pretrained,train,01,0.929305948317051,0.343563050031662
16870,4478,DenseNet,non-pretrained,train,01,0.9337067678570748,0.3409449458122253
