,ImagesCount,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
0,64,AttDs,pretrained,train,01,0.20834141969680786,0.7844071388244629
1,128,AttDs,pretrained,train,01,0.2676268219947815,0.7795214056968689
2,192,AttDs,pretrained,train,01,0.39511966705322266,0.7592702507972717
3,256,AttDs,pretrained,train,01,0.5823567807674408,0.7407761812210083
4,320,AttDs,pretrained,train,01,0.8056659698486328,0.7109884023666382
5,384,AttDs,pretrained,train,01,0.8751924261450768,0.685072660446167
6,448,AttDs,pretrained,train,01,0.8718760311603547,0.6678889393806458
7,512,AttDs,pretrained,train,01,0.9003072530031205,0.6270439624786377
8,576,AttDs,pretrained,train,01,0.8820466473698616,0.6302651762962341
9,640,AttDs,pretrained,train,01,0.8964716941118241,0.6146745085716248
10,704,AttDs,pretrained,train,01,0.9265166521072388,0.5770978927612305
11,768,AttDs,pretrained,train,01,0.9199904203414917,0.5811126232147217
12,832,AttDs,pretrained,train,01,0.9028035253286362,0.607451319694519
13,896,AttDs,pretrained,train,01,0.9255629554390908,0.5513791441917419
14,960,AttDs,pretrained,train,01,0.9171198084950448,0.5836064219474792
15,1024,AttDs,pretrained,train,01,0.9020882174372673,0.6035247445106506
16,1088,AttDs,pretrained,train,01,0.91533762216568,0.5680298805236816
17,1152,AttDs,pretrained,train,01,0.9182348251342773,0.5770382881164551
18,1216,AttDs,pretrained,train,01,0.9148609414696693,0.5785714387893677
19,1280,AttDs,pretrained,train,01,0.924972489476204,0.5765170454978943
20,1344,AttDs,pretrained,train,01,0.9214649721980095,0.5613856315612793
21,1408,AttDs,pretrained,train,01,0.9202763885259629,0.5682477951049805
22,1472,AttDs,pretrained,train,01,0.923942968249321,0.5653710961341858
23,1536,AttDs,pretrained,train,01,0.934204138815403,0.5537357330322266
24,1600,AttDs,pretrained,train,01,0.9318525567650795,0.545998752117157
25,1631,AttDs,pretrained,train,01,0.92193740606308,0.56146240234375
26,1663,AttDs,pretrained,train,01,0.9368766397237778,0.5551367998123169
27,1727,AttDs,pretrained,train,01,0.9244726076722146,0.5815073847770691
28,1791,AttDs,pretrained,train,01,0.9390255808830262,0.5543416738510132
29,1855,AttDs,pretrained,train,01,0.9360886961221695,0.5464053153991699
30,1919,AttDs,pretrained,train,01,0.9410298615694046,0.5466081500053406
31,1983,AttDs,pretrained,train,01,0.9411773644387722,0.5349250435829163
32,2047,AttDs,pretrained,train,01,0.9347978308796883,0.544641375541687
33,2111,AttDs,pretrained,train,01,0.9369743466377259,0.562514066696167
34,2175,AttDs,pretrained,train,01,0.9437045268714428,0.552843451499939
35,2239,AttDs,pretrained,train,01,0.9431278705596924,0.5343968868255615
36,2303,AttDs,pretrained,train,01,0.9342453107237816,0.562352180480957
37,2367,AttDs,pretrained,train,01,0.9449624568223954,0.5493537187576294
38,2431,AttDs,pretrained,train,01,0.9475122205913067,0.5302636027336121
39,2495,AttDs,pretrained,train,01,0.9463818892836571,0.5385906100273132
40,2559,AttDs,pretrained,train,01,0.9435115121304989,0.5312062501907349
41,2623,AttDs,pretrained,train,01,0.938479483127594,0.5558261275291443
42,2687,AttDs,pretrained,train,01,0.9401784017682076,0.5518103241920471
43,2751,AttDs,pretrained,train,01,0.9429722726345063,0.5329362154006958
44,2815,AttDs,pretrained,train,01,0.9360930621623993,0.5639412999153137
45,2879,AttDs,pretrained,train,01,0.9427919276058674,0.5332536697387695
46,2943,AttDs,pretrained,train,01,0.9408829659223557,0.5480052828788757
47,3007,AttDs,pretrained,train,01,0.9416388869285583,0.5349438190460205
48,3071,AttDs,pretrained,train,01,0.9510430470108986,0.5196243524551392
49,3135,AttDs,pretrained,train,01,0.945866048336029,0.5105574131011963
50,3199,AttDs,pretrained,train,01,0.9449917040765285,0.5194793343544006
51,3262,AttDs,pretrained,train,01,0.9439595676958561,0.5231878757476807
