,Epoch,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
16825,1,DenseNet,non-pretrained,train,01,2.7120113372802734e-05,0.437301367521286
16851,2,DenseNet,non-pretrained,train,01,0.912394754588604,0.3621043562889099
16877,3,DenseNet,non-pretrained,train,01,0.9369066134095192,0.3372313678264618
16903,4,DenseNet,non-pretrained,train,01,0.9372972398996354,0.3320707082748413
16929,5,DenseNet,non-pretrained,train,01,0.9426994994282722,0.3262874782085418
16955,6,DenseNet,non-pretrained,train,01,0.9450768679380417,0.322483628988266
16981,7,DenseNet,non-pretrained,train,01,0.9466903917491436,0.3211333751678467
17007,8,DenseNet,non-pretrained,train,01,0.9441596008837224,0.3196046352386474
17033,9,DenseNet,non-pretrained,train,01,0.9386267624795437,0.3225365579128265
17059,10,DenseNet,non-pretrained,train,01,0.9469987377524376,0.3163518011569977
17085,11,DenseNet,non-pretrained,train,01,0.9389585591852665,0.3211024105548858
17111,12,DenseNet,non-pretrained,train,01,0.9459146708250046,0.3165203928947449
17137,13,DenseNet,non-pretrained,train,01,0.9500852338969707,0.3124923408031463
17163,14,DenseNet,non-pretrained,train,01,0.9461962915956974,0.3154061436653137
17189,15,DenseNet,non-pretrained,train,01,0.9473226293921471,0.3138610422611236
17215,16,DenseNet,non-pretrained,train,01,0.9436248764395714,0.3162911832332611
17241,17,DenseNet,non-pretrained,train,01,0.9493883289396763,0.3126843571662903
17267,18,DenseNet,non-pretrained,train,01,0.9513270966708661,0.3113575875759125
17293,19,DenseNet,non-pretrained,train,01,0.949322797358036,0.3124176263809204
17319,20,DenseNet,non-pretrained,train,01,0.9476522654294968,0.3126695156097412
17345,21,DenseNet,non-pretrained,train,01,0.9559580199420453,0.3067973256111145
17371,22,DenseNet,non-pretrained,train,01,0.9488150887191296,0.3116640150547027
17397,23,DenseNet,non-pretrained,train,01,0.9545476622879506,0.3087953627109527
17423,24,DenseNet,non-pretrained,train,01,0.9484406225383282,0.3117348849773407
17449,25,DenseNet,non-pretrained,train,01,0.956504475325346,0.3073765635490417
17475,26,DenseNet,non-pretrained,train,01,0.9490726739168168,0.3115755617618561
17501,27,DenseNet,non-pretrained,train,01,0.934386931359768,0.3197589814662933
17527,28,DenseNet,non-pretrained,train,01,0.9536864347755909,0.3081162869930267
17553,29,DenseNet,non-pretrained,train,01,0.9510035961866379,0.3098320662975311
17579,30,DenseNet,non-pretrained,train,01,0.9457747824490071,0.3137507438659668
17605,1,DenseNet,non-pretrained,train,02,0.8653954118490219,0.3946031928062439
17631,2,DenseNet,non-pretrained,train,02,0.9307060912251472,0.0797135755419731
17657,3,DenseNet,non-pretrained,train,02,0.9383591301739216,0.0687689557671547
17683,4,DenseNet,non-pretrained,train,02,0.9338884726166726,0.0725135207176208
17709,5,DenseNet,non-pretrained,train,02,0.9435366950929165,0.0621117167174816
17735,6,DenseNet,non-pretrained,train,02,0.9524695537984372,0.0525077767670154
17761,7,DenseNet,non-pretrained,train,02,0.9495486170053483,0.0555155761539936
17787,8,DenseNet,non-pretrained,train,02,0.9474969245493412,0.0574583448469638
17813,9,DenseNet,non-pretrained,train,02,0.9538958370685579,0.050554446876049
17839,10,DenseNet,non-pretrained,train,02,0.9443887583911419,0.0601555258035659
17865,11,DenseNet,non-pretrained,train,02,0.9510776102542878,0.0531010068953037
17891,12,DenseNet,non-pretrained,train,02,0.9536204710602761,0.0506873987615108
17917,13,DenseNet,non-pretrained,train,02,0.9557599946856499,0.0486359223723411
17943,14,DenseNet,non-pretrained,train,02,0.9506223686039448,0.0532277189195156
17969,15,DenseNet,non-pretrained,train,02,0.9509675167500973,0.0532799996435642
17995,16,DenseNet,non-pretrained,train,02,0.9491092003881932,0.0551164224743843
18021,17,DenseNet,non-pretrained,train,02,0.9545690156519413,0.049885768443346
